GUID_,year,Population
2AE19629214813A3E055000000000001,2022_Population,7653.0
2AE1962922E913A3E055000000000001,2022_Population,355.0
2AE196291D8313A3E055000000000001,2022_Population,2566.0
2AE19629183413A3E055000000000001,2022_Population,2294.0
2AE196291DEC13A3E055000000000001,2022_Population,4849.0
2AE19629240013A3E055000000000001,2022_Population,300.0
3576C59995BD4152E0530100007F0280,2022_Population,384.0
2AE1962920B513A3E055000000000001,2022_Population,320.0
2AE196291D0913A3E055000000000001,2022_Population,1911.0
2AE19629177E13A3E055000000000001,2022_Population,1417.0
2AE1962923A013A3E055000000000001,2022_Population,127.0
2AE19629210113A3E055000000000001,2022_Population,459.0
2AE196291ABF13A3E055000000000001,2022_Population,789.0
2AE196291EC513A3E055000000000001,2022_Population,702.0
2AE196291E5C13A3E055000000000001,2022_Population,1382.0
2AE19629211713A3E055000000000001,2022_Population,343.0
2AE196291C0C13A3E055000000000001,2022_Population,455.0
2AE196291E9813A3E055000000000001,2022_Population,4584.0
2AE19629198313A3E055000000000001,2022_Population,357.0
2AE196291E9413A3E055000000000001,2022_Population,1227.0
2AE196291CDD13A3E055000000000001,2022_Population,4197.0
2AE19629237513A3E055000000000001,2022_Population,3493.0
2AE196291F4113A3E055000000000001,2022_Population,748.0
2AE196291DA613A3E055000000000001,2022_Population,2302.0
2AE19629190B13A3E055000000000001,2022_Population,2129.0
2AE196291B5613A3E055000000000001,2022_Population,1313.0
2AE1962921D713A3E055000000000001,2022_Population,458.0
2AE19629222313A3E055000000000001,2022_Population,713.0
2AE1962922F313A3E055000000000001,2022_Population,153.0
2AE196291B6913A3E055000000000001,2022_Population,539.0
2AE196291CBC13A3E055000000000001,2022_Population,991.0
2AE196291BD213A3E055000000000001,2022_Population,315.0
2AE196291A7213A3E055000000000001,2022_Population,332.0
2AE1962921FC13A3E055000000000001,2022_Population,1022.0
2AE1962917B813A3E055000000000001,2022_Population,1088.0
2AE1962921FE13A3E055000000000001,2022_Population,1570.0
2AE196291AA013A3E055000000000001,2022_Population,1000.0
2AE1962921A313A3E055000000000001,2022_Population,203.0
2AE196291CD313A3E055000000000001,2022_Population,3793.0
2AE196291C4213A3E055000000000001,2022_Population,321.0
2AE19629186A13A3E055000000000001,2022_Population,691.0
2AE19629204513A3E055000000000001,2022_Population,751.0
2AE19629170B13A3E055000000000001,2022_Population,321.0
2AE1962918EC13A3E055000000000001,2022_Population,470.0
2AE196291DA113A3E055000000000001,2022_Population,2308.0
2AE19629237313A3E055000000000001,2022_Population,1971.0
2AE196291D9E13A3E055000000000001,2022_Population,2556.0
2AE19629214913A3E055000000000001,2022_Population,6498.0
2AE19629233813A3E055000000000001,2022_Population,1637.0
2AE19629239B13A3E055000000000001,2022_Population,703.0
2AE19629178413A3E055000000000001,2022_Population,288.0
2AE196291D5113A3E055000000000001,2022_Population,203.0
2AE196291CDC13A3E055000000000001,2022_Population,393.0
2AE19629220D13A3E055000000000001,2022_Population,278.0
2AE1962917A613A3E055000000000001,2022_Population,1246.0
2AE1962921EC13A3E055000000000001,2022_Population,4483.0
2AE19629176913A3E055000000000001,2022_Population,300.0
2AE19629207D13A3E055000000000001,2022_Population,259.0
2AE196291C7013A3E055000000000001,2022_Population,5937.0
2AE196291F8013A3E055000000000001,2022_Population,564.0
2AE19629178713A3E055000000000001,2022_Population,547.0
2AE196291A5913A3E055000000000001,2022_Population,1665.0
2AE196291DD713A3E055000000000001,2022_Population,5921.0
2AE1962919DA13A3E055000000000001,2022_Population,310.0
2AE19629180A13A3E055000000000001,2022_Population,618.0
2AE196291B3013A3E055000000000001,2022_Population,1231.0
2AE196291AA913A3E055000000000001,2022_Population,241.0
3576C59999EE4152E0530100007F0280,2022_Population,363.0
2AE19629172D13A3E055000000000001,2022_Population,355.0
2AE19629174C13A3E055000000000001,2022_Population,183.0
2AE196291BCD13A3E055000000000001,2022_Population,3395.0
2AE1962921B213A3E055000000000001,2022_Population,762.0
2AE196291A4613A3E055000000000001,2022_Population,472.0
2AE196291F9013A3E055000000000001,2022_Population,799.0
2AE196291D3313A3E055000000000001,2022_Population,1743.0
2AE196291EB013A3E055000000000001,2022_Population,731.0
2AE1962923B413A3E055000000000001,2022_Population,372.0
2AE1962923AB13A3E055000000000001,2022_Population,295.0
2AE196291DB213A3E055000000000001,2022_Population,4777.0
2AE19629193B13A3E055000000000001,2022_Population,437.0
2AE196291B2113A3E055000000000001,2022_Population,553.0
2AE19629198713A3E055000000000001,2022_Population,608.0
2AE196291AD613A3E055000000000001,2022_Population,543.0
2AE196291DCD13A3E055000000000001,2022_Population,2612.0
2AE1962917E113A3E055000000000001,2022_Population,563.0
2AE196291AD213A3E055000000000001,2022_Population,288.0
2AE19629191513A3E055000000000001,2022_Population,1940.0
2AE196291D3213A3E055000000000001,2022_Population,1598.0
2AE19629226C13A3E055000000000001,2022_Population,645.0
2AE19629231513A3E055000000000001,2022_Population,1134.0
2AE19629181D13A3E055000000000001,2022_Population,247.0
2AE1962919BA13A3E055000000000001,2022_Population,516.0
2AE196291F1C13A3E055000000000001,2022_Population,1960.0
2AE19629216A13A3E055000000000001,2022_Population,5099.0
2AE196291F1713A3E055000000000001,2022_Population,603.0
2AE19629179713A3E055000000000001,2022_Population,69.0
2AE19629230413A3E055000000000001,2022_Population,978.0
2AE196291A3A13A3E055000000000001,2022_Population,565.0
2AE19629220713A3E055000000000001,2022_Population,194.0
2AE196291E6213A3E055000000000001,2022_Population,651.0
2AE196291FE613A3E055000000000001,2022_Population,938.0
2AE19629220F13A3E055000000000001,2022_Population,362.0
2AE196291F1013A3E055000000000001,2022_Population,665.0
